SONDAGES;X;Y;Z;classe
TR1;-73.5667095259032;45.5414773471785;2;0
TR1;-73.5667095259032;45.5414773471785;3.25;0
TR2;-73.5669392054798;45.5410675928966;0.65;0
TR2;-73.5669392054798;45.5410675928966;2.75;1
TR2;-73.5669392054798;45.5410675928966;4.25;0
TR3;-73.5669877415413;45.5412144977381;2.75;0
TR3;-73.5669877415413;45.5412144977381;4.25;0
TR4;-73.5672165544026;45.5411319396926;1.25;0
TR4;-73.5672165544026;45.5411319396926;4.25;0
TR5;-73.5676117766176;45.5412873429717;1.75;0
TR5;-73.5676117766176;45.5412873429717;3.25;1
TR6;-73.5674445005485;45.5416157523946;0.75;1
TR6;-73.5674445005485;45.5416157523946;2.25;0
TR6;-73.5674445005485;45.5416157523946;3.75;0
19F01-CF;-73.5673335609794;45.5416072538385;0.915;0
19F01-CF;-73.5673335609794;45.5416072538385;2.745;0
19F02-CF;-73.5672382222872;45.5413098035664;1.525;0
19F02-CF;-73.5672382222872;45.5413098035664;2.745;2
19F03-CF;-73.5669834079644;45.5414591359405;0.33;0
19F03-CF;-73.5669834079644;45.5414591359405;1.525;1
19F03-CF;-73.5669834079644;45.5414591359405;5.105;0
19F04-CF;-73.5668603343799;45.5412843077555;0.915;0
19F04-CF;-73.5668603343799;45.5412843077555;3.86;0
P0-01;-73.567429766387;45.5412254245292;2.7;2
P0-01;-73.567429766387;45.5412254245292;3.05;1
TE-01;-73.5673092929487;45.5416327495029;1.95;2
TE-01;-73.5673092929487;45.5416327495029;3.1;0
TE-02;-73.5675537066868;45.541530766776;1.6;0
TE-02;-73.5675537066868;45.541530766776;2.95;2
TE-03;-73.5672954255025;45.5415004147382;0.6;0
TE-03;-73.5672954255025;45.5415004147382;2.7;2
TE-04;-73.5671220824258;45.5416157523946;1.7;1
TE-04;-73.5671220824258;45.5416157523946;2.2;0
TE-05;-73.5670024757029;45.5414154289452;0.7;0
TE-05;-73.5670024757029;45.5414154289452;2;0
TE-05;-73.5670024757029;45.5414154289452;3.05;0
TE-06;-73.5671749520642;45.5411914300611;2.4;1
TE-06;-73.5671749520642;45.5411914300611;3.3;0
TE-08;-73.5667285936416;45.541345012048;1.85;1
TE-08;-73.5667285936416;45.541345012048;3.3;0
TE-10;-73.5668976031414;45.5411586496618;2.85;1
TE-10;-73.5668976031414;45.5411586496618;3.65;0
PO-07;-73.5668377997799;45.5415878285626;2.1;2
PO-07;-73.5668377997799;45.5415878285626;4.5;0
F-3;-73.5676993148713;45.5414554936922;0.9;0
F-3;-73.5676993148713;45.5414554936922;2.7;1
TP-11;-73.5677868531251;45.5412278527047;3;1
TP-11;-73.5677868531251;45.5412278527047;5.5;0
