sondages;X;Y;Z
S1;652007.83;1736990.25;4.08
S2;651983.68;1736997.25;4.26
S3;651997.93;1736991.36;4.24
S4;651986.97;1737006.26;4.02
S5;651939.91;1736921.79;4.2
S6;651945.16;1736923.15;4.1
S7;651971.79;1736917.71;4.04
S8;651924.18;1736904.24;4.29
S9;651934.82;1736920.3;4.16
S10;651935.83;1736891.1;4.24
S11;651893.98;1736936.93;4.21
S12;651887.71;1736927.83;4.18
S13;651906.7;1736942.31;3.96
S14;651925.08;1736937.94;4.08
S15;651916.84;1736995.13;4.27
S16;651940.77;1736992.11;4.32
S17;651943.45;1736975.09;4.29
S18;651967.35;1736972.16;4.26
S19;651969.94;1736954.89;2.72
S20;651994.03;1736952.18;4.25
S20bis;651998.79;1736956.35;4.32
S21;651996.37;1736934.85;4.24
S22;652020.12;1736931.76;4.22
S22bis;652025.43;1736936.75;4.23
S23;652087.79;1736951.47;2.84
S24;652081.73;1736942.44;2.88
S25;652073.87;1736943.81;4.12
S26;652081.61;1736952.61;4.04
S27;652061.7;1736954.94;4.08
S28;652055.04;1736950.85;4.08
S29;652043.78;1736979.75;3.91
S30;652034.84;1736988.87;3.87
S31;652020.91;1736997.7;3.88
S32;652012.94;1736989.38;3.99
S33;652012.1;1736998.16;3.94
S34;651999.49;1737011.34;4
S35;652007.69;1737005.44;3.97
S36;651976.62;1737010.76;4.37
S37;652001.81;1736967.23;4.29
S38;651976.55;1736996.68;4.22
S39;652074.57;1737047.68;3.46
S40;652093.81;1737057.08;3.37
S41;652064.44;1737060.77;3.43
S42;651891.06;1736993.38;4.22
S43;651914.29;1737021.09;4.26
S44;651934.99;1737019.67;4.2
S45;651945.63;1737021.37;4.15
S46;651935.45;1737025.06;4.21
S47;651991.46;1736982.22;4.29
S48;651970.7;1737025.98;4.08
S49;651978.41;1737019.71;4.09
S50;651936.23;1737011.57;4.13
S51;651915.76;1737023.76;4.16
S52;651950.41;1737024.3;4.07
S53;652056.36;1737043.18;3.63
S54;652073.52;1737031.43;3.48
S55;652087.14;1737016.61;3.86
S56;652049.39;1736962.08;4.13
S57;652055.19;1736967.69;4.06
S58;652039.34;1736978.62;3.9
S59;652099.4;1737067.55;3.09
S60;651980.12;1737076.52;3.49
S61;651929.29;1737054.26;4.1
S62;651936.19;1737063.44;4.08
S63;651951.29;1737002.07;4.1
S64;652017.41;1736951.38;4.1
S65;652083.36;1737040.25;3.52
S66;651899.93;1737033.13;4.17
S67;651911.26;1737059.05;4.16
S68;651992.59;1736902.18;2.59
S69;651918.45;1736958.77;4.1
S70;651946.03;1736937.9;4.05
S71;652079.79;1736935;2.87
S72;651903.65;1736933.81;4.23
S73;652026.36;1736935.56;4.23
S74;652000.4;1736961.28;4.14
S75;652064.99;1736960.91;3.94
